ir;vou
acanhar;acanho
adjudicar;adjudico
esfarelar;esfarelo
exteriorizar;exteriorizo
infernizar;infernizo
raçoar;raçoo
recrudescer;recrudesço
refugir;refujo
ressecar;resseco
sugestionar;sugestiono
veniagar;veniago
favar;favo
segundar;segundo
sitiar;sitio
treler;trelo
apezinhar;apezinho
divisar;diviso
escriturar;escrituro
estorvar;estorvo
rapar;rapo
recender;recendo
arxar;arxo
desvestir;desvesto
orvalhar;orvalho
reouvir;reouço
sonegar;sonego
amplificar;amplifico
barganhar;barganho
cotejar;cotejo
desatinar;desatino
descanjicar;descanjico
dramatizar;dramatizo
fragmentar;fragmento
incapacitar;incapacito
lusitanizar;lusitanizo
obnubilar;obnubilo
obstaculizar;obstaculizo
particionar;particiono
xinguilar;xinguilo
arredondar;arredondo
atermar;atermo
batucar;batuco
coexistir;coexisto
desvariar;desvario
flanar;flano
reorganizar;reorganizo
ringir;rinjo
traquitanar;traquitano
uniformizar;uniformizo
deschancelar;deschancelo
saludar;saludo
amarrotar;amarroto
arraigar;arraigo
averbar;averbo
duelar;duelo
emostar;emosto
empossar;emposso
esparramar;esparramo
fatigar;fatigo
maquilar;maquilo
obscurecer;obscureço
passatempear;passatempeio
pilhar;pilho
reacender;reacendo
degolar;degolo
desgraçar;desgraço
farandolar;farandolo
relampadejar;relampadejo
subentender;subentendo
ultimar;ultimo
amorroar;amorroo
totalizar;totalizo
vigilar;vigilo
vizinhar;vizinho
amezinhar;amezinho
assisar;assiso
instrumentalizar;instrumentalizo
repisar;repiso
retocar;retoco
adocicar;adocico
chafurdar;chafurdo
estambrar;estambro
fariscar;farisco
inventariar;inventario
perfeicionar;perfeiciono
raivar;raivo
retrogredir;retrogredo
sub-rogar;sub-rogo
alhear;alheio
concursar;concurso
emancipar;emancipo
formigar;formigo
monitorizar;monitorizo
parlamentear;parlamenteio
peregrinar;peregrino
pirambar;pirambo
rostear;rosteio
acompassar;acompasso
expectar;expecto
farofiar;farofio
gingar;gingo
oscular;osculo
rostilhar;rostilho
sistematizar;sistematizo
tripudiar;tripudio
apoquentar;apoquento
cachondear;cachondeio
conjuntar;conjunto
desintegrar;desintegro
desprestigiar;desprestigio
escurentar;escurento
rutilar;rutilo
sobresser;sobresso
achoçar;achoço
achochar;achocho
aglomerar;aglomero
bajar;bajo
degringolar;degringolo
desaparentar;desaparento
macaquear;macaqueio
malquerer;malquero
marejar;marejo
sabatinar;sabatino
transmutar;transmuto
xavecar;xaveco
foicear;foiceio
obcecar;obceco
obsequiar;obsequio
parçar;parço
secretar;secreto
afazendar;afazendo
brunir;bruno
carcomer;carcomo
desacatar;desacato
entreabrir;entreabro
imunizar;imunizo
normatizar;normatizo
pescocear;pescoceio
reimprimir;reimprimo
remostar;remosto
substabelecer;substabeleço
abaular;abaúlo
assibilar;assibilo
desaprovar;desaprovo
emperrar;emperro
obliterar;oblitero
personificar;personifico
ringer;rinjo
ruminar;rumino
semelhar;semelho
viventar;vivento
cremar;cremo
decodificar;decodifico
elongar;elongo
flechar;flecho
percutir;percuto
acossar;acosso
aninhar;aninho
categorizar;categorizo
contrafazer;contrafaço
eivar;eivo
elucubrar;elucubro
percar;perco
promulgar;promulgo
reavir;reavo
resenhar;resenho
tirotear;tiroteio
urdir;urdo
achoutar;achouto
amordaçar;amordaço
chuchar;chucho
falhocar;falhoco
pré-lavar;pré-lavo
prevaricar;prevarico
rebuscar;rebusco
amalgamar;amalgamo
apendoar;apendoo
demarcar;demarco
desafazer;desafaço
desorientar;desoriento
destilar;destilo
entapetar;entapeto
espectar;especto
manar;mano
morraçar;morraço
quebrantar;quebranto
reavivar;reavivo
remanescer;remanesço
romantizar;romantizo
contracantar;contracanto
cooptar;coopto
desenlear;desenleio
desinchar;desincho
redundar;redundo
rescender;rescendo
tresvariar;tresvario
zurrar;zurro
avivar;avivo
cantorinhar;cantorinho
caturrar;caturro
chingar;chingo
diferençar;diferenço
evolucionar;evoluciono
fintar;finto
passarinhar;passarinho
permutar;permuto
requestar;requesto
tirocinar;tirocino
varejar;varejo
pentelhar;pentelho
ab-rogar;ab-rogo
alvoroçar;alvoroço
aprumar;aprumo
candidatar;candidato
equalizar;equalizo
escaldar;escaldo
reposicionar;reposiciono
transladar;translado
unhar;unho
alucinar;alucino
encetar;enceto
fenecer;feneço
foliar;folio
perpendicular;perpendiculo
transplantar;transplanto
triplicar;triplico
brocar;broco
cascar;casco
enfaixar;enfaixo
espatifar;espatifo
sublocar;subloco
turbar;turbo
destroçar;destroço
bramar;bramo
embrenhar;embrenho
escamosar;escamoso
estaminar;estamino
laminar;lamino
ofegar;ofego
petrechar;petrecho
ramalhar;ramalho
recriminar;recrimino
atarantar;ataranto
branquear;branqueio
coadjuvar;coadjuvo
empacar;empaco
hostilizar;hostilizo
massagear;massageio
bretanhizar;bretanhizo
circunscrever;circunscrevo
desatender;desatendo
farinhar;farinho
fornicar;fornico
patear;pateio
peitar;peito
proscrever;proscrevo
surfar;surfo
apequenar;apequeno
racionar;raciono
ressair;ressaio
sapecar;sapeco
alentar;alento
atravancar;atravanco
descabeçar;descabeço
entorpecer;entorpeço
panaçar;panaço
pesgar;pesgo
achatar;achato
desumanizar;desumanizo
mobilar;mobilo
ojerizar;ojerizo
aviltar;avilto
condecorar;condecoro
encadear;encadeio
esmurrar;esmurro
perigar;perigo
prendar;prendo
temporizar;temporizo
carnear;carneio
custodiar;custodio
desembolsar;desembolso
espaçar;espaço
exacerbar;exacerbo
fervilhar;fervilho
pechinchar;pechincho
relancetar;relanceto
trucidar;trucido
verdascar;verdasco
assuntar;assunto
engraxar;engraxo
pendular;pendulo
purgar;purgo
vicejar;vicejo
catear;cateio
gramar;gramo
incinerar;incinero
maquilhar;maquilho
cachear;cacheio
cargar;cargo
costear;costeio
embater;embato
esposar;esposo
peticionar;peticiono
ressonar;ressono
sobpor;sobponho
sopesar;sopeso
amortecer;amorteço
dadivar;dadivo
derribar;derribo
empedrar;empedro
planhir;planho
amoldar;amoldo
basar;baso
brecar;breco
cruciar;crucio
estaiar;estaio
estraçalhar;estraçalho
quizilar;quizilo
retalhar;retalho
abancar;abanco
catingar;catingo
descurar;descuro
escamotear;escamoteio
relutar;reluto
derrapar;derrapo
fermentar;fermento
individualizar;individualizo
pulular;pululo
aventar;avento
papear;papeio
amostar;amosto
avultar;avulto
conjeturar;conjeturo
aforar;aforo
anistiar;anistio
aprovisionar;aprovisiono
depurar;depuro
encabular;encabulo
fumaçar;fumaço
laxar;laxo
parasitar;parasito
tironear;tironeio
causticar;caustico
colonizar;colonizo
escrutar;escruto
exultar;exulto
arreglar;arreglo
debelar;debelo
enovelar;enovelo
entranhar;entranho
gatinhar;gatinho
lamuriar;lamurio
possibilizar;possibilizo
reabrir;reabro
relampaguear;relampagueio
capitanear;capitaneio
enganchar;engancho
engraçar;engraço
guinchar;guincho
profanar;profano
reescrever;reescrevo
teorizar;teorizo
apenar;apeno
ariscar;arisco
confabular;confabulo
conjuminar;conjumino
desbaratar;desbarato
expugnar;expugno
filhar;filho
palpar;palpo
particularizar;particularizo
rarear;rareio
soerguer;soergo
superestimar;superestimo
aglutinar;aglutino
bebericar;beberico
dentar;dento
esfoliar;esfolio
fanar;fano
rarefazer;rarefaço
saturar;saturo
alardar;alardo
condescender;condescendo
descasar;descaso
soterrar;soterro
arramar;arramo
infirmar;infirmo
abismar;abismo
acolitar;acolito
afobar;afobo
arrojar;arrojo
coxear;coxeio
embargar;embargo
ordenhar;ordenho
professorar;professoro
desmobiliar;desmobilio
diplomar;diplomo
divinizar;divinizo
empanturrar;empanturro
estalir;estalo
pretejar;pretejo
guarnecer;guarneço
refulgir;refuljo
sobressaltar;sobressalto
subpor;subponho
vagabundear;vagabundeio
abolar;abolo
amofinar;amofino
augurar;auguro
espessar;espesso
extasiar;extasio
protrair;protraio
alijar;alijo
bolinar;bolino
chamejar;chamejo
cindir;cindo
desconjuntar;desconjunto
riçar;riço
testificar;testifico
toitear;toiteio
conotar;conoto
desproteger;desprotejo
encender;encendo
exsudar;exsudo
relançar;relanço
denervar;denervo
destingir;destinjo
intensar;intenso
pinchar;pincho
solidificar;solidifico
dedetizar;dedetizo
denegar;denego
desapertar;desaperto
encabeçar;encabeço
enclausurar;enclausuro
enrubescer;enrubesço
glosar;gloso
nacionalizar;nacionalizo
sofisticar;sofistico
travessar;travesso
verminar;vermino
delapidar;delapido
grasnar;grasno
invernar;inverno
liberalizar;liberalizo
rejubilar;rejubilo
tipificar;tipifico
tontear;tonteio
badalar;badalo
cadenciar;cadencio
desacordar;desacordo
desorganizar;desorganizo
efectuar;efectuo
engodar;engodo
fabular;fabulo
moldurar;molduro
prosar;proso
avacalhar;avacalho
espedaçar;espedaço
acirrar;acirro
actuar;actuo
aquentar;aquento
ritmar;ritmo
cairelar;cairelo
desobrigar;desobrigo
embotar;emboto
precatar;precato
sumariar;sumario
xeretar;xereto
zarpar;zarpo
desempenar;desempeno
embolar;embolo
esputar;esputo
friccionar;fricciono
lenir;leno
rafar;rafo
sungar;sungo
afear;afeio
atarracar;atarraco
condir;condo
desvelar;desvelo
inebriar;inebrio
interdizer;interdigo
salivar;salivo
zanzar;zanzo
adjuntar;adjunto
alfinetar;alfineto
chancelar;chancelo
cirandar;cirando
compatibilizar;compatibilizo
desconvir;desconvenho
desencaminhar;desencaminho
emparelhar;emparelho
estilhaçar;estilhaço
fissurar;fissuro
gracejar;gracejo
hipotecar;hipoteco
sacolejar;sacolejo
trancafiar;trancafio
urbanizar;urbanizo
amainar;amaino
desunir;desuno
espanar;espano
insertar;inserto
solidar;solido
cofiar;cofio
confeitar;confeito
dependurar;dependuro
espraiar;espraio
valorar;valoro
viçar;viço
descontentar;descontento
discrepar;discrepo
fulminar;fulmino
galar;galo
mornar;morno
patrulhar;patrulho
ratar;rato
reexpedir;reexpeço
arrestar;arresto
atrofiar;atrofio
comissionar;comissiono
despor;desponho
enredar;enredo
pressagiar;pressagio
ruflar;ruflo
coagular;coagulo
conclamar;conclamo
dedilhar;dedilho
eligir;elijo
emular;emulo
encolerizar;encolerizo
entalar;entalo
receptar;recepto
ricochetear;ricocheteio
brochar;brocho
concitar;concito
desmedir;desmeço
desonerar;desonero
entretecer;entreteço
eructar;eructo
imerecer;imereço
individuar;individuo
paparicar;paparico
pavimentar;pavimento
prolatar;prolato
reconfortar;reconforto
remorder;remordo
trouçar;trouço
visionar;visiono
volitar;volito
abalizar;abalizo
afigurar;afiguro
criminar;crimino
empecer;empeço
engenhar;engenho
pastorar;pastoro
propagandear;propagandeio
coabitar;coabito
eriçar;eriço
estarrecer;estarreço
ondear;ondeio
reeditar;reedito
tributar;tributo
cainhar;cainho
cevar;cevo
codificar;codifico
convolar;convolo
depenar;depeno
ensoberbecer;ensoberbeço
legislar;legislo
refestelar;refestelo
repicar;repico
sibilar;sibilo
trespassar;trespasso
acicatar;acicato
avençar;avenço
crismar;crismo
discar;disco
engomar;engomo
enraivecer;enraiveço
fungar;fungo
horrorizar;horrorizo
interatuar;interatuo
mictar;micto
petrificar;petrifico
recopilar;recopilo
repostar;reposto
supervisar;superviso
tramitar;tramito
abnegar;abnego
desolar;desolo
enrugar;enrugo
envergar;envergo
estigmatizar;estigmatizo
estivar;estivo
lombar;lombo
melindrar;melindro
projectar;projecto
adversar;adverso
agiotar;agioto
alinhavar;alinhavo
apascentar;apascento
babujar;babujo
comutar;comuto
escrivar;escrivo
imortalizar;imortalizo
notabilizar;notabilizo
recostar;recosto
sacanear;sacaneio
suplantar;suplanto
suturar;suturo
enfunar;enfuno
esguichar;esguicho
pessoalizar;pessoalizo
achacar;achaco
agigantar;agiganto
blefar;blefo
debandar;debando
oferendar;oferendo
andejar;andejo
bestar;besto
consensualizar;consensualizo
consociar;consocio
levitar;levito
perfilar;perfilo
reorientar;reoriento
retesar;reteso
amarinhar;amarinho
atucanar;atucano
degenerar;degenero
desfavorecer;desfavoreço
emborcar;emborco
fugar;fugo
jactar;jacto
malograr;malogro
mimosear;mimoseio
prenunciar;prenuncio
reclinar;reclino
reverdecer;reverdeço
alcunhar;alcunho
arrochar;arrocho
assoalhar;assoalho
contristar;contristo
datar;dato
descravar;descravo
desembaçar;desembaço
esgrimir;esgrimo
extremar;extremo
moralizar;moralizo
ruborizar;ruborizo
acamar;acamo
azarar;azaro
conspurcar;conspurco
desarraigar;desarraigo
desfraldar;desfraldo
desperceber;despercebo
incender;incendo
matutar;matuto
mutuar;mutuo
piratear;pirateio
repulsar;repulso
retrogradar;retrogrado
tropicar;tropico
açular;açulo
aguantar;aguanto
alcoolizar;alcoolizo
atemorizar;atemorizo
confecionar;confeciono
descarrilar;descarrilo
detratar;detrato
empenar;empeno
enlevar;enlevo
estregar;estrego
extenuar;extenuo
impacientar;impaciento
azular;azulo
bundar;bundo
encalhar;encalho
encorpar;encorpo
esconjuntar;esconjunto
esfumar;esfumo
saltear;salteio
arrelvar;arrelvo
enfestar;enfesto
gestionar;gestiono
nasalizar;nasalizo
pragar;prago
vulgarizar;vulgarizo
afiliar;afilio
alunar;aluno
caraterizar;caraterizo
contabilizar;contabilizo
convencionar;convenciono
dilapidar;dilapido
encompridar;encomprido
escandir;escando
iscar;isco
prodigar;prodigo
abarrotar;abarroto
bonificar;bonifico
engaiolar;engaiolo
esporear;esporeio
magnificar;magnifico
mexericar;mexerico
mordiscar;mordisco
porfiar;porfio
rendar;rendo
transfigurar;transfiguro
vagabundar;vagabundo
amealhar;amealho
convulsionar;convulsiono
copilar;copilo
delongar;delongo
dessedentar;dessedento
estilar;estilo
foguear;fogueio
nublar;nublo
pererecar;perereco
tesourar;tesouro
aceirar;aceiro
claudicar;claudico
domiciliar;domicilio
impermeabilizar;impermeabilizo
justar;justo
mussitar;mussito
progressar;progresso
referendar;referendo
solapar;solapo
adstringir;adstrinjo
avessar;avesso
coligir;colijo
estriar;estrio
lubrificar;lubrifico
penitenciar;penitencio
pulverizar;pulverizo
quadrar;quadro
serpentear;serpenteio
sinalar;sinalo
ulular;ululo
vaticinar;vaticino
abeirar;abeiro
acabrunhar;acabrunho
alhanar;alhano
aparelhar;aparelho
atazanar;atazano
chocalhar;chocalho
conflitar;conflito
descentralizar;descentralizo
ensacar;ensaco
envasar;envaso
estugar;estugo
excogitar;excogito
incubar;incubo
propulsar;propulso
refugar;refugo
transfugir;transfujo
assuar;assuo
encardir;encardo
entonar;entono
requirir;requiro
agudar;agudo
desempregar;desemprego
menoscabar;menoscabo
oxidar;oxido
actualizar;actualizo
afiançar;afianço
cacetar;caceto
compungir;compunjo
deplorar;deploro
despenhar;despenho
desvaler;desvalho
entremeter;entremeto
excarcerar;excarcero
requebrar;requebro
catucar;catuco
inglesar;ingleso
malandrar;malandro
mixar;mixo
sobrelevar;sobrelevo
abasmar;abasmo
acoimar;acoimo
avermelhar;avermelho
calejar;calejo
desamar;desamo
dissonar;dissono
ferventar;fervento
flagelar;flagelo
noivar;noivo
obsedar;obsedo
tentear;tenteio
tutorar;tutoro
desleixar;desleixo
enjeitar;enjeito
evolar;evolo
imiscuir;imiscuo
irmanar;irmano
obstinar;obstino
solar;solo
vulnerar;vulnero
acartar;acarto
arrimar;arrimo
desaviar;desavio
evolver;evolvo
remedar;remedo
vermelhar;vermelho
destrinçar;destrinço
abananar;abanano
ajoeirar;ajoeiro
defraudar;defraudo
embevecer;embeveço
enfastiar;enfastio
lastrear;lastreio
palmar;palmo
vituperar;vitupero
achincalhar;achincalho
baldar;baldo
derrogar;derrogo
engulhar;engulho
expender;expendo
inicializar;inicializo
reerguer;reergo
cochar;cocho
contemporizar;contemporizo
desafinar;desafino
embolorar;emboloro
encovar;encovo
engrenar;engreno
entrajar;entrajo
exceler;excelo
gravitar;gravito
madurecer;madureço
reboar;reboo
soçobrar;soçobro
torrefazer;torrefaço
bambear;bambeio
desaconselhar;desaconselho
estrondar;estrondo
incandescer;incandesço
menstruar;menstruo
monopolizar;monopolizo
olfatear;olfateio
rebolir;rebolo
revender;revendo
transfusar;transfuso
afanar;afano
andoar;andoo
deambular;deambulo
defasar;defaso
estralar;estralo
fusionar;fusiono
guisar;guiso
prognosticar;prognostico
razoar;razoo
reprochar;reprocho
siar;sio
sobrevoar;sobrevoo
tracejar;tracejo
troar;troo
deprecar;depreco
desconcertar;desconcerto
embranquecer;embranqueço
enfileirar;enfileiro
esquadrinhar;esquadrinho
estripar;estripo
golfar;golfo
incensar;incenso
modorrar;modorro
zurzir;zurzo
aboiar;aboio
avantajar;avantajo
cariar;cario
cornar;corno
debilitar;debilito
desapropriar;desaproprio
expropriar;exproprio
forcejar;forcejo
fretar;freto
hospitalizar;hospitalizo
inconstitucionalizar;inconstitucionalizo
lassar;lasso
profundar;profundo
surdir;surdo
campar;campo
coalhar;coalho
cruentar;cruento
desancar;desanco
esperdiçar;esperdiço
integralizar;integralizo
mirrar;mirro
preceituar;preceituo
revalidar;revalido
abeberar;abebero
alfabetar;alfabeto
atabafar;atabafo
bambolear;bamboleio
bisar;biso
colectar;colecto
destronar;destrono
emprenhar;emprenho
ensebar;ensebo
envernizar;envernizo
espinafrar;espinafro
esvanecer;esvaneço
fuxicar;fuxico
rajar;rajo
rinchar;rincho
toucar;touco
abjurar;abjuro
alforriar;alforrio
avolumar;avolumo
chifrar;chifro
conluiar;conluio
desgarrar;desgarro
devassar;devasso
duchar;ducho
ensopar;ensopo
enxovalhar;enxovalho
escamar;escamo
esmaecer;esmaeço
inocular;inoculo
mercar;merco
pinicar;pinico
tilintar;tilinto
aniversariar;aniversario
atochar;atocho
contrabandear;contrabandeio
demudar;demudo
ejetar;ejeto
empipocar;empipoco
garatujar;garatujo
lotear;loteio
malucar;maluco
sombrear;sombreio
tresandar;tresando
versejar;versejo
xerocopiar;xerocopio
azucrinar;azucrino
despregar;desprego
detergir;deterjo
doestar;doesto
encrencar;encrenco
escalonar;escalono
espalmar;espalmo
espoliar;espolio
excretar;excreto
exumar;exumo
gizar;gizo
horar;horo
matizar;matizo
ourar;ouro
reificar;reifico
senhorear;senhoreio
afoitar;afoito
circunstanciar;circunstancio
consorciar;consorcio
desarrolhar;desarrolho
efervescer;efervesço
emboscar;embosco
emburrar;emburro
espanholar;espanholo
gestar;gesto
imolar;imolo
infestar;infesto
insuflar;insuflo
litigar;litigo
palmilhar;palmilho
tartamudear;tartamudeio
tesar;teso
tonar;tono
alindar;alindo
aplainar;aplaino
arrebitar;arrebito
atribular;atribulo
cariciar;caricio
comichar;comicho
correferir;correfero
crivar;crivo
desinibir;desinibo
esbulhar;esbulho
indultar;indulto
infetar;infeto
inquinar;inquino
laurear;laureio
partejar;partejo
predestinar;predestino
arroxar;arroxo
comboiar;comboio
derrocar;derroco
desentranhar;desentranho
enjaular;enjaulo
genuflectir;genuflecto
sacramentar;sacramento
transfundir;transfundo
assacar;assaco
desenganar;desengano
desfechar;desfecho
eguar;eguo
exorbitar;exorbito
industriar;industrio
rasar;raso
recalcar;recalco
apoucar;apouco
atritar;atrito
cardar;cardo
condimentar;condimento
deslindar;deslindo
empoeirar;empoeiro
empuxar;empuxo
enviesar;envieso
estrar;estro
flamejar;flamejo
grupar;grupo
imbricar;imbrico
petiscar;petisco
premeditar;premedito
ramificar;ramifico
readmitir;readmito
respingar;respingo
subjazer;subjaço
tronar;trono
abastar;abasto
acoitar;acoito
conselhar;conselho
desencarnar;desencarno
engordurar;engorduro
esboroar;esboroo
escachar;escacho
esconjurar;esconjuro
improbar;improbo
inticar;intico
minorar;minoro
referenciar;referencio
renguear;rengueio
resplender;resplendo
robustecer;robusteço
acocorar;acocoro
apartear;aparteio
besuntar;besunto
compenetrar;compenetro
desempossar;desemposso
desencaixar;desencaixo
desenraizar;desenraízo
embravecer;embraveço
escangalhar;escangalho
introjetar;introjeto
mourejar;mourejo
reaviar;reavio
toldar;toldo
amotinar;amotino
burilar;burilo
democratizar;democratizo
descerrar;descerro
desfigurar;desfiguro
desnaturar;desnaturo
embolsar;embolso
enegrecer;enegreço
enformar;enformo
esfalfar;esfalfo
lagrimejar;lagrimejo
maliciar;malicio
peidorrar;peidorro
sofismar;sofismo
vidrar;vidro
acarar;acaro
baldear;baldeio
cimentar;cimento
crepitar;crepito
degredar;degredo
descolorar;descoloro
desentortar;desentorto
dobar;dobo
emaranhar;emaranho
espinhar;espinho
franquiar;franquio
hierarquizar;hierarquizo
polarizar;polarizo
repuxar;repuxo
romancear;romanceio
amortizar;amortizo
arranchar;arrancho
calcinar;calcino
capear;capeio
cornear;corneio
decantar;decanto
encaracolar;encaracolo
esborrachar;esborracho
esmolar;esmolo
lacerar;lacero
mortificar;mortifico
plasmar;plasmo
refratar;refrato
agudizar;agudizo
apaniguar;apaniguo
chorrar;chorro
destroncar;destronco
encurvar;encurvo
escudar;escudo
perfilhar;perfilho
recondicionar;recondiciono
respigar;respigo
acalorar;acaloro
aforrar;aforro
bruxulear;bruxuleio
cinzar;cinzo
debutar;debuto
embalsamar;embalsamo
empestar;empesto
emporcalhar;emporcalho
enfrear;enfreio
enxertar;enxerto
esgarçar;esgarço
estropiar;estropio
macerar;macero
propelir;propelo
quadruplicar;quadruplico
triar;trio
vincar;vinco
ababelar;ababelo
abatatar;abatato
desabrigar;desabrigo
descoser;descoso
desvairar;desvairo
escorchar;escorcho
malear;maleio
nevoar;nevoo
pejar;pejo
persignar;persigno
pintalgar;pintalgo
sistemar;sistemo
transmudar;transmudo
vindimar;vindimo
britar;brito
comensurar;comensuro
depravar;depravo
desaproximar;desaproximo
desopilar;desopilo
exorar;exoro
flamar;flamo
folear;foleio
galardoar;galardoo
lobrigar;lobrigo
obliquar;obliquo
ombrear;ombreio
prefigurar;prefiguro
vindicar;vindico
açucarar;açucaro
alvitrar;alvitro
capitalizar;capitalizo
confranger;confranjo
credenciar;credencio
desovar;desovo
desterrar;desterro
entalhar;entalho
estratificar;estratifico
farfalhar;farfalho
memorar;memoro
oxigenar;oxigeno
pipilar;pipilo
polemicar;polemico
precluir;precluo
abalançar;abalanço
acalcar;acalco
acarrear;acarreio
caucionar;cauciono
contrabalançar;contrabalanço
decimar;decimo
descorar;descoro
desembainhar;desembainho
despeitar;despeito
destampar;destampo
galantear;galanteio
intercorrer;intercorro
libar;libo
prear;preio
ralear;raleio
reflorescer;refloresço
ribombar;ribombo
abecedar;abecedo
apinhar;apinho
carbonizar;carbonizo
desarticular;desarticulo
desgovernar;desgoverno
desservir;dessirvo
destorcer;destorço
empanar;empano
emprazar;emprazo
esparzir;esparzo
esplender;esplendo
lanhar;lanho
magnetizar;magnetizo
manear;maneio
maturar;maturo
retumbar;retumbo
subscritar;subscrito
aclimatar;aclimato
aporrinhar;aporrinho
arrenegar;arrenego
bronquear;bronqueio
broxar;broxo
encanar;encano
estafar;estafo
flambar;flambo
inabilitar;inabilito
instrumentar;instrumento
madeirar;madeiro
marrar;marro
obtemperar;obtempero
orlar;orlo
pejorar;pejoro
periclitar;periclito
pormenorizar;pormenorizo
prelecionar;preleciono
regaçar;regaço
supliciar;suplicio
televisar;televiso
adormentar;adormento
afincar;afinco
apimentar;apimento
aplanar;aplano
aromatizar;aromatizo
atorar;atoro
azeitar;azeito
desatentar;desatento
detrair;detraio
esturricar;esturrico
homiziar;homizio
lambar;lambo
mesurar;mesuro
preludiar;preludio
restruturar;restruturo
tiritar;tirito
tranar;trano
banzar;banzo
baquear;baqueio
desbastar;desbasto
descamar;descamo
descosturar;descosturo
desembalar;desembalo
enfarar;enfaro
engolfar;engolfo
entrançar;entranço
estrebuchar;estrebucho
humanar;humano
imantar;imanto
juramentar;juramento
manutenir;manuteno
prosternar;prosterno
seccionar;secciono
sementar;semento
remoçar;remoço
adoidar;adoido
desencalhar;desencalho
desencardir;desencardo
desmamar;desmamo
desordenar;desordeno
embuchar;embucho
entenebrar;entenebro
estercar;esterco
expectorar;expectoro
fraternizar;fraternizo
leiloar;leiloo
linguajar;linguajo
negacear;negaceio
reinstalar;reinstalo
rojar;rojo
secionar;seciono
sopitar;sopito
abastardar;abastardo
arreliar;arrelio
chacinar;chacino
decalcar;decalco
departir;departo
desenrascar;desenrasco
desmandar;desmando
despelar;despelo
embrear;embreio
entesar;enteso
gratular;gratulo
parlamentar;parlamento
predeterminar;predetermino
profligar;profligo
rascunhar;rascunho
refluir;refluo
remorar;remoro
tiranizar;tiranizo
vivar;vivo
açambarcar;açambarco
ambular;ambulo
ataviar;atavio
desautorizar;desautorizo
desenfrear;desenfreio
entroncar;entronco
escalpelar;escalpelo
esfomear;esfomeio
nausear;nauseio
recibar;recibo
voluntariar;voluntario
acurar;acuro
adernar;aderno
aferrar;aferro
aferventar;afervento
amadurar;amaduro
arregimentar;arregimento
asir;aso
bolear;boleio
conturbar;conturbo
desassistir;desassisto
disturbar;disturbo
empertigar;empertigo
escarafunchar;escarafuncho
esgoelar;esgoelo
geminar;gemino
intumescer;intumesço
palmear;palmeio
pirocar;piroco
recarregar;recarrego
saracotear;saracoteio
sofrenar;sofreno
tenter;tento
variegar;variego
abar;abo
agastar;agasto
alquilar;alquilo
animalizar;animalizo
apostatar;apostato
assenhorear;assenhoreio
avoar;avoo
bandear;bandeio
comparticipar;comparticipo
compendiar;compendio
confutar;confuto
deblaterar;deblatero
descarrilhar;descarrilho
desembargar;desembargo
desenredar;desenredo
empalhar;empalho
encomiar;encomio
entrevir;entrevenho
mumificar;mumifico
oficiar;oficio
prefaciar;prefacio
puncionar;punciono
tocaiar;tocaio
anuviar;anuvio
arengar;arengo
beatificar;beatifico
endentar;endento
estribar;estribo
manufaturar;manufaturo
obturar;obturo
peinar;peino
perfeiçoar;perfeiçoo
propalar;propalo
requintar;requinto
retinir;retino
secundar;secundo
abandalhar;abandalho
adelgaçar;adelgaço
afadigar;afadigo
afofar;afofo
amimar;amimo
aparafusar;aparafuso
aprestar;apresto
coligar;coligo
degelar;degelo
dejetar;dejeto
desempatar;desempato
destrocar;destroco
eliciar;elicio
fumegar;fumego
impender;impendo
interpolar;interpolo
possear;posseio
propinar;propino
surripiar;surripio
tascar;tasco
abarracar;abarraco
afivelar;afivelo
arrebanhar;arrebanho
arrostar;arrosto
assestar;assesto
avinhar;avinho
baforar;baforo
baloiçar;baloiço
conflagrar;conflagro
derrear;derreio
desavezar;desavezo
desenroscar;desenrosco
embrutecer;embruteço
esmoer;esmoo
infamar;infamo
invectivar;invectivo
lavorar;lavoro
liquidificar;liquidifico
magicar;magico
mandriar;mandrio
superintender;superintendo
vitalizar;vitalizo
achavascar;achavasco
adensar;adenso
ameigar;ameigo
ciar;cio
congraçar;congraço
eletrizar;eletrizo
encargar;encargo
federar;federo
fletir;fleto
intrujar;intrujo
joeirar;joeiro
lactar;lacto
lancear;lanceio
oberar;obero
remarcar;remarco
sazonar;sazono
singrar;singro
sobrenadar;sobrenado
ziguezaguear;ziguezagueio
abicar;abico
arremedar;arremedo
babatar;babato
chupitar;chupito
descargar;descargo
desconversar;desconverso
docilizar;docilizo
espezinhar;espezinho
necropsiar;necropsio
paliar;palio
tactear;tacteio
vergastar;vergasto
fementir;femento
abrasileirar;abrasileiro
debruar;debruo
desauxiliar;desauxilio
desconsertar;desconserto
dessecar;desseco
efluir;efluo
encravar;encravo
enfezar;enfezo
engatilhar;engatilho
ensanguentar;ensanguento
entocar;entoco
equacionar;equaciono
esmar;esmo
esmigalhar;esmigalho
estatelar;estatelo
exprobar;exprobo
imutar;imuto
jeitar;jeito
maldiçoar;maldiçoo
reutilizar;reutilizo
trautear;trauteio
birrar;birro
bombar;bombo
cauterizar;cauterizo
desagregar;desagrego
desinfeccionar;desinfecciono
desparafusar;desparafuso
enfarruscar;enfarrusco
entontecer;entonteço
explotar;exploto
exuberar;exubero
flectir;flecto
granar;grano
imprecar;impreco
juncar;junco
lambear;lambeio
maneirar;maneiro
massificar;massifico
